namespace,key,current_value
blue_skies,block.blue_skies.lunar_stone,Lunar Stone
blue_skies,block.blue_skies.lunar_cobblestone,Lunar Cobblestone
blue_skies,block.blue_skies.mossy_lunar_cobblestone,Mossy Lunar Cobblestone
blue_skies,block.blue_skies.lunar_leaves,Lunar Leaves
blue_skies,block.blue_skies.crescent_fruit_leaves,Crescent Fruit Leaves
blue_skies,block.blue_skies.lunar_log,Lunar Log
blue_skies,block.blue_skies.lunar_wood,Lunar Wood
blue_skies,block.blue_skies.stripped_lunar_log,Stripped Lunar Log
blue_skies,block.blue_skies.stripped_lunar_wood,Stripped Lunar Wood
blue_skies,block.blue_skies.lunar_planks,Lunar Planks
blue_skies,block.blue_skies.lunar_stonebrick,Lunar Stone Bricks
blue_skies,block.blue_skies.mossy_lunar_stonebrick,Mossy Lunar Stone Bricks
blue_skies,block.blue_skies.cracked_lunar_stonebrick,Cracked Lunar Stone Bricks
blue_skies,block.blue_skies.chiseled_lunar_stonebrick,Chiseled Lunar Stone Bricks
blue_skies,block.blue_skies.camellia,Camellia
blue_skies,block.blue_skies.snowbloom,Snowbloom
blue_skies,block.blue_skies.blush_blossom,Blush Blossom
blue_skies,block.blue_skies.polar_posy,Polar Posy
blue_skies,block.blue_skies.midday_bayhop,Midday Bayhop
blue_skies,block.blue_skies.chillweed,Chillweed
blue_skies,block.blue_skies.brittlebush,Brittlebush
blue_skies,block.blue_skies.briskbloom,Briskbloom
blue_skies,block.blue_skies.brumble_vine,Brumble Vine
blue_skies,block.blue_skies.brumble_vine_top,Brumble Vine
blue_skies,block.blue_skies.dusk_leaves,Dusk Leaves
blue_skies,block.blue_skies.dusk_wood,Dusk Wood
blue_skies,block.blue_skies.stripped_dusk_log,Stripped Dusk Log
blue_skies,block.blue_skies.stripped_dusk_wood,Stripped Dusk Wood
blue_skies,block.blue_skies.dusk_planks,Dusk Planks
blue_skies,block.blue_skies.maple_leaves,Maple Leaves
blue_skies,block.blue_skies.maple_log,Maple Log
blue_skies,block.blue_skies.maple_wood,Maple Wood
blue_skies,block.blue_skies.stripped_maple_log,Stripped Maple Log
blue_skies,block.blue_skies.stripped_maple_wood,Stripped Maple Wood
blue_skies,block.blue_skies.maple_planks,Maple Planks
blue_skies,block.blue_skies.lunar_crafting_table,Lunar Crafting Table
blue_skies,block.blue_skies.dusk_crafting_table,Dusk Crafting Table
blue_skies,block.blue_skies.maple_crafting_table,Maple Crafting Table
blue_skies,block.blue_skies.lunar_chest,Lunar Chest
blue_skies,block.blue_skies.dusk_chest,Dusk Chest
blue_skies,block.blue_skies.maple_chest,Maple Chest
blue_skies,block.blue_skies.everdawn_diopside_ore,Diopside Ore
blue_skies,block.blue_skies.everdawn_pyrope_ore,Pyrope Ore
blue_skies,block.blue_skies.everdawn_aquite_ore,Aquite Ore
blue_skies,block.blue_skies.everdawn_moonstone_ore,Moonstone Ore
blue_skies,block.blue_skies.everdawn_charoite_ore,Charoite Ore
blue_skies,block.blue_skies.everdawn_emerald_ore,Emerald Ore
blue_skies,block.blue_skies.horizonite_ore,Horizonite Ore
blue_skies,block.blue_skies.lunar_cherry_grass_block,Cherry Grass Block
blue_skies,block.blue_skies.vitreous_moonstone,Vitreous Moonstone
blue_skies,block.blue_skies.raw_moonstone,Raw Moonstone
blue_skies,block.blue_skies.hidden_spike,Hidden Spike Block
blue_skies,block.blue_skies.crystal_sand,Crystal Sand
blue_skies,block.blue_skies.crystal_sandstone,Crystal Sandstone
blue_skies,block.blue_skies.chiseled_crystal_sandstone,Chiseled Crystal Sandstone
blue_skies,block.blue_skies.cut_crystal_sandstone,Cut Crystal Sandstone
blue_skies,block.blue_skies.cut_crystal_sandstone_slab,Cut Crystal Sandstone Slab
blue_skies,block.blue_skies.smooth_crystal_sandstone,Smooth Crystal Sandstone
blue_skies,block.blue_skies.smooth_crystal_sandstone_slab,Smooth Crystal Sandstone Slab
blue_skies,block.blue_skies.smooth_crystal_sandstone_stairs,Smooth Crystal Sandstone Stairs
blue_skies,block.blue_skies.crystal_sandstone_wall,Crystal Sandstone Wall
blue_skies,block.blue_skies.crystal_sandstone_pillar,Crystal Sandstone Pillar
blue_skies,block.blue_skies.crystal_glass,Crystal Glass
blue_skies,block.blue_skies.crystal_glass_pane,Crystal Glass Pane
blue_skies,block.blue_skies.lunar_vine,Lunar Vines
blue_skies,block.blue_skies.dusk_vine,Dusk Vines
blue_skies,block.blue_skies.maple_vine,Maple Vines
blue_skies,block.blue_skies.black_fire,Dark Fire
blue_skies,block.blue_skies.upsidedown_black_fire,Gravity Defying Dark Fire
blue_skies,block.blue_skies.crescent_fruit,Crescent Fruit
blue_skies,block.blue_skies.lunar_sapling,Lunar Sapling
blue_skies,block.blue_skies.cherry_sapling,Cherry Sapling
blue_skies,block.blue_skies.dusk_sapling,Dusk Sapling
blue_skies,block.blue_skies.maple_sapling,Maple Sapling
blue_skies,block.blue_skies.crescent_fruit_sapling,Crescent Fruit Sapling
blue_skies,block.blue_skies.decaying_spike,Decaying Spike
blue_skies,block.blue_skies.spider_webbing,Spider Webbing
blue_skies,block.blue_skies.spider_nest,Spider Nest
blue_skies,block.blue_skies.moonlit_water_lily,Moonlit Water Lily
blue_skies,block.blue_skies.glimmer_reed,Glimmer Reeds
blue_skies,block.blue_skies.crystallized_grass,Crystallized Grass
blue_skies,block.blue_skies.baneful_mushroom,Baneful Mushroom
blue_skies,block.blue_skies.bluebright_bookshelf,Bluebright Bookshelf
blue_skies,block.blue_skies.starlit_bookshelf,Starlit Bookshelf
blue_skies,block.blue_skies.frostbright_bookshelf,Frostbright Bookshelf
blue_skies,block.blue_skies.lunar_bookshelf,Lunar Bookshelf
blue_skies,block.blue_skies.dusk_bookshelf,Dusk Bookshelf
blue_skies,block.blue_skies.maple_bookshelf,Maple Bookshelf
blue_skies,block.blue_skies.cherry_bookshelf,Cherry Bookshelf
blue_skies,block.blue_skies.bluebright_sign,Bluebright Sign
blue_skies,block.blue_skies.starlit_sign,Starlit Sign
blue_skies,block.blue_skies.frostbright_sign,Frostbright Sign
blue_skies,block.blue_skies.lunar_sign,Lunar Sign
blue_skies,block.blue_skies.dusk_sign,Dusk Sign
blue_skies,block.blue_skies.maple_sign,Maple Sign
blue_skies,block.blue_skies.cherry_sign,Cherry Sign
blue_skies,block.blue_skies.bluebright_door,Bluebright Door
blue_skies,block.blue_skies.starlit_door,Starlit Door
blue_skies,block.blue_skies.frostbright_door,Frostbright Door
blue_skies,block.blue_skies.lunar_door,Lunar Door
blue_skies,block.blue_skies.dusk_door,Dusk Door
blue_skies,block.blue_skies.maple_door,Maple Door
blue_skies,block.blue_skies.cherry_door,Cherry Door
blue_skies,block.blue_skies.bluebright_trapdoor,Bluebright Trapdoor
blue_skies,block.blue_skies.starlit_trapdoor,Starlit Trapdoor
blue_skies,block.blue_skies.frostbright_trapdoor,Frostbright Trapdoor
blue_skies,block.blue_skies.lunar_trapdoor,Lunar Trapdoor
blue_skies,block.blue_skies.dusk_trapdoor,Dusk Trapdoor
blue_skies,block.blue_skies.maple_trapdoor,Maple Trapdoor
blue_skies,block.blue_skies.cherry_trapdoor,Cherry Trapdoor
blue_skies,block.blue_skies.bluebright_ladder,Bluebright Ladder
blue_skies,block.blue_skies.starlit_ladder,Starlit Ladder
blue_skies,block.blue_skies.frostbright_ladder,Frostbright Ladder
blue_skies,block.blue_skies.lunar_ladder,Lunar Ladder
blue_skies,block.blue_skies.dusk_ladder,Dusk Ladder
blue_skies,block.blue_skies.maple_ladder,Maple Ladder
blue_skies,block.blue_skies.cherry_ladder,Cherry Ladder
blue_skies,block.blue_skies.bluebright_fence,Bluebright Fence
blue_skies,block.blue_skies.starlit_fence,Starlit Fence
blue_skies,block.blue_skies.frostbright_fence,Frostbright Fence
blue_skies,block.blue_skies.lunar_fence,Lunar Fence
blue_skies,block.blue_skies.dusk_fence,Dusk Fence
blue_skies,block.blue_skies.maple_fence,Maple Fence
blue_skies,block.blue_skies.cherry_fence,Cherry Fence
blue_skies,block.blue_skies.bluebright_fence_gate,Bluebright Fence Gate
blue_skies,block.blue_skies.starlit_fence_gate,Starlit Fence Gate
blue_skies,block.blue_skies.frostbright_fence_gate,Frostbright Fence Gate
blue_skies,block.blue_skies.lunar_fence_gate,Lunar Fence Gate
blue_skies,block.blue_skies.dusk_fence_gate,Dusk Fence Gate
blue_skies,block.blue_skies.maple_fence_gate,Maple Fence Gate
blue_skies,block.blue_skies.cherry_fence_gate,Cherry Fence Gate
blue_skies,block.blue_skies.turquoise_stone_pressure_plate,Turquoise Stone Pressure Plate
blue_skies,block.blue_skies.bluebright_pressure_plate,Bluebright Pressure Plate
blue_skies,block.blue_skies.starlit_pressure_plate,Starlit Pressure Plate
blue_skies,block.blue_skies.frostbright_pressure_plate,Frostbright Pressure Plate
blue_skies,block.blue_skies.lunar_stone_pressure_plate,Lunar Stone Pressure Plate
blue_skies,block.blue_skies.lunar_pressure_plate,Lunar Pressure Plate
blue_skies,block.blue_skies.dusk_pressure_plate,Dusk Pressure Plate
blue_skies,block.blue_skies.maple_pressure_plate,Maple Pressure Plate
blue_skies,block.blue_skies.cherry_pressure_plate,Cherry Pressure Plate
blue_skies,block.blue_skies.moonstone_pressure_plate,Moonstone Pressure Plate
blue_skies,block.blue_skies.turquoise_stone_button,Turquoise Stone Button
blue_skies,block.blue_skies.bluebright_button,Bluebright Button
blue_skies,block.blue_skies.starlit_button,Starlit Button
blue_skies,block.blue_skies.frostbright_button,Frostbright Button
blue_skies,block.blue_skies.lunar_stone_button,Lunar Stone Button
blue_skies,block.blue_skies.lunar_button,Lunar Button
blue_skies,block.blue_skies.dusk_button,Dusk Button
blue_skies,block.blue_skies.maple_button,Maple Button
blue_skies,block.blue_skies.cherry_button,Cherry Button
blue_skies,block.blue_skies.moonstone_button,Moonstone Button
blue_skies,block.blue_skies.turquoise_lever,Turquoise Lever
blue_skies,block.blue_skies.lunar_lever,Lunar Lever
blue_skies,block.blue_skies.cherry_grass,Cherry Grass
blue_skies,block.blue_skies.cherry_leaves,Cherry Leaves
blue_skies,block.blue_skies.cherry_log,Cherry Log
blue_skies,block.blue_skies.cherry_wood,Cherry Wood
blue_skies,block.blue_skies.stripped_cherry_log,Stripped Cherry Log
blue_skies,block.blue_skies.stripped_cherry_wood,Stripped Cherry Wood
blue_skies,block.blue_skies.cherry_planks,Cherry Planks
blue_skies,block.blue_skies.cherry_crafting_table,Cherry Crafting Table
blue_skies,block.blue_skies.cherry_chest,Cherry Chest
blue_skies,block.blue_skies.crystallized_leaves,Crystallized Leaves
blue_skies,block.blue_skies.crystallized_log,Crystallized Log
blue_skies,block.blue_skies.crystallized_wood,Crystallized Wood
blue_skies,block.blue_skies.crystallized_planks,Crystallized Planks
blue_skies,block.blue_skies.crystallized_door,Crystallized Door
blue_skies,block.blue_skies.crystallized_trapdoor,Crystallized Trapdoor
blue_skies,block.blue_skies.crystallized_wall,Crystallized Wall
blue_skies,block.blue_skies.crystallized_slab,Crystallized Slab
blue_skies,block.blue_skies.crystallized_stairs,Crystallized Stairs
blue_skies,block.blue_skies.crystallized_button,Crystallized Button
blue_skies,block.blue_skies.crystallized_pressure_plate,Crystallized Pressure Plate
blue_skies,block.blue_skies.cherry_pie,Cherry Pie
blue_skies,block.blue_skies.diopside_block,Block of Diopside
blue_skies,block.blue_skies.pyrope_block,Block of Pyrope
blue_skies,block.blue_skies.aquite_block,Block of Aquite
blue_skies,block.blue_skies.charoite_block,Block of Charoite
blue_skies,block.blue_skies.horizonite_block,Block of Horizonite
blue_skies,block.blue_skies.falsite_block,Block of Falsite
blue_skies,block.blue_skies.ventium_block,Block of Ventium
blue_skies,block.blue_skies.moonstone_block,Block of Moonstone
blue_skies,block.blue_skies.moonstone_crystal,Moonstone Crystal
blue_skies,block.blue_skies.sunstone_block,Block of Sunstone
blue_skies,block.blue_skies.sunstone_crystal,Sunstone Crystal
blue_skies,block.blue_skies.raw_falsite_block,Block of Raw Falsite
blue_skies,block.blue_skies.raw_ventium_block,Block of Raw Ventium
blue_skies,block.blue_skies.raw_horizonite_block,Block of Raw Horizonite
blue_skies,block.blue_skies.raw_aquite_block,Block of Raw Aquite
blue_skies,block.blue_skies.raw_charoite_block,Block of Raw Charoite
blue_skies,block.blue_skies.moonstone,Moonstone
blue_skies,block.blue_skies.moonstone_lantern,Moonstone Lantern
blue_skies,block.blue_skies.star_flare,Star Flare
blue_skies,block.blue_skies.warding_pearl,Warding Pearl
blue_skies,block.blue_skies.everbright_portal,Everbright Portal Block
blue_skies,block.blue_skies.everdawn_portal,Everdawn Portal Block
blue_skies,block.blue_skies.bluebright_slab,Bluebright Wood Slab
blue_skies,block.blue_skies.lunar_slab,Lunar Wood Slab
blue_skies,block.blue_skies.cherry_slab,Cherry Wood Slab
blue_skies,block.blue_skies.starlit_slab,Starlit Wood Slab
blue_skies,block.blue_skies.frostbright_slab,Frostbright Wood Slab
blue_skies,block.blue_skies.dusk_slab,Dusk Wood Slab
blue_skies,block.blue_skies.maple_slab,Maple Wood Slab
blue_skies,block.blue_skies.turquoise_cobblestone_slab,Turquoise Cobblestone Slab
blue_skies,block.blue_skies.turquoise_stone_slab,Turquoise Stone Slab
blue_skies,block.blue_skies.mossy_turquoise_cobblestone_slab,Mossy Turquoise Cobblestone Slab
blue_skies,block.blue_skies.lunar_cobblestone_slab,Lunar Cobblestone Slab
blue_skies,block.blue_skies.lunar_stone_slab,Lunar Stone Slab
blue_skies,block.blue_skies.mossy_lunar_cobblestone_slab,Mossy Lunar Cobblestone Slab
blue_skies,block.blue_skies.turquoise_stonebrick_slab,Turquoise Stone Brick Slab
blue_skies,block.blue_skies.mossy_turquoise_stonebrick_slab,Mossy Turquoise Stone Brick Slab
blue_skies,block.blue_skies.cracked_turquoise_stonebrick_slab,Cracked Turquoise Stone Brick Slab
blue_skies,block.blue_skies.lunar_stonebrick_slab,Lunar Stone Brick Slab
blue_skies,block.blue_skies.mossy_lunar_stonebrick_slab,Mossy Lunar Stone Brick Slab
blue_skies,block.blue_skies.cracked_lunar_stonebrick_slab,Cracked Lunar Stone Brick Slab
blue_skies,block.blue_skies.crystal_sandstone_slab,Crystal Sandstone Slab
blue_skies,block.blue_skies.midnight_sandstone_slab,Midnight Sandstone Slab
blue_skies,block.blue_skies.bluebright_stairs,Bluebright Wood Stairs
blue_skies,block.blue_skies.lunar_stairs,Lunar Wood Stairs
blue_skies,block.blue_skies.cherry_stairs,Cherry Wood Stairs
blue_skies,block.blue_skies.starlit_stairs,Starlit Wood Stairs
blue_skies,block.blue_skies.frostbright_stairs,Frostbright Wood Stairs
blue_skies,block.blue_skies.dusk_stairs,Dusk Wood Stairs
blue_skies,block.blue_skies.maple_stairs,Maple Wood Stairs
blue_skies,block.blue_skies.turquoise_cobblestone_stairs,Turquoise Cobblestone Stairs
blue_skies,block.blue_skies.turquoise_stone_stairs,Turquoise Stone Stairs
blue_skies,block.blue_skies.mossy_turquoise_cobblestone_stairs,Mossy Turquoise Cobblestone Stairs
blue_skies,block.blue_skies.lunar_cobblestone_stairs,Lunar Cobblestone Stairs
blue_skies,block.blue_skies.lunar_stone_stairs,Lunar Stone Stairs
blue_skies,block.blue_skies.mossy_lunar_cobblestone_stairs,Mossy Lunar Cobblestone Stairs
blue_skies,block.blue_skies.lunar_stonebrick_stairs,Lunar Stone Brick Stairs
blue_skies,block.blue_skies.mossy_lunar_stonebrick_stairs,Mossy Lunar Stone Brick Stairs
blue_skies,block.blue_skies.cracked_lunar_stonebrick_stairs,Cracked Lunar Stone Brick Stairs
blue_skies,block.blue_skies.turquoise_stonebrick_stairs,Turquoise Stone Brick Stairs
blue_skies,block.blue_skies.mossy_turquoise_stonebrick_stairs,Mossy Turquoise Stone Brick Stairs
blue_skies,block.blue_skies.cracked_turquoise_stonebrick_stairs,Cracked Turquoise Stone Brick Stairs
blue_skies,block.blue_skies.crystal_sandstone_stairs,Crystal Sandstone Stairs
blue_skies,block.blue_skies.midnight_sandstone_stairs,Midnight Sandstone Stairs
blue_skies,block.blue_skies.turquoise_cobblestone_wall,Turquoise Cobblestone Wall
blue_skies,block.blue_skies.mossy_turquoise_cobblestone_wall,Mossy Turquoise Cobblestone Wall
blue_skies,block.blue_skies.lunar_cobblestone_wall,Lunar Cobblestone Wall
blue_skies,block.blue_skies.mossy_lunar_cobblestone_wall,Mossy Lunar Cobblestone Wall
blue_skies,block.blue_skies.lunar_stonebrick_wall,Lunar Stone Brick Wall
blue_skies,block.blue_skies.mossy_lunar_stonebrick_wall,Mossy Lunar Stone Brick Wall
blue_skies,block.blue_skies.cracked_lunar_stonebrick_wall,Cracked Lunar Stone Brick Wall
blue_skies,block.blue_skies.turquoise_stonebrick_wall,Turquoise Stone Brick Wall
blue_skies,block.blue_skies.mossy_turquoise_stonebrick_wall,Mossy Turquoise Stone Brick Wall
blue_skies,block.blue_skies.cracked_turquoise_stonebrick_wall,Cracked Turquoise Stone Brick Wall
blue_skies,block.blue_skies.horizonite_forge,Horizonite Forge
blue_skies,block.blue_skies.snowcap_oven,Snowcap Oven
blue_skies,block.blue_skies.food_prep_table,Food Prep Table
blue_skies,block.blue_skies.turquoise_dripstone,Turquoise Dripstone
blue_skies,block.blue_skies.lunar_dripstone,Lunar Dripstone
blue_skies,block.blue_skies.sea_moss_block,Sea Moss Block
blue_skies,block.blue_skies.sea_moss_carpet,Sea Moss Carpet
blue_skies,block.blue_skies.brumble_block,Brumble Block
blue_skies,block.blue_skies.polished_brumble,Polished Brumble
blue_skies,block.blue_skies.polished_brumble_bricks,Polished Brumble Bricks
blue_skies,block.blue_skies.chiseled_polished_brumble,Chiseled Polished Brumble
blue_skies,block.blue_skies.brumble_lantern,Brumble Lantern
blue_skies,block.blue_skies.taratite,Taratite
blue_skies,block.blue_skies.polished_taratite,Polished Taratite
blue_skies,block.blue_skies.rimestone,Rimestone
blue_skies,block.blue_skies.polished_rimestone,Polished Rimestone
blue_skies,block.blue_skies.polished_umber,Polished Umber
blue_skies,block.blue_skies.cinderstone,Cinderstone
blue_skies,block.blue_skies.polished_cinderstone,Polished Cinderstone
blue_skies,block.blue_skies.brumble_stairs,Brumble Stairs
blue_skies,block.blue_skies.polished_brumble_stairs,Polished Brumble Stairs
blue_skies,block.blue_skies.polished_brumble_brick_stairs,Polished Brumble Brick Stairs
blue_skies,block.blue_skies.taratite_stairs,Taratite Stairs
blue_skies,block.blue_skies.polished_taratite_stairs,Polished Taratite Stairs
blue_skies,block.blue_skies.rimestone_stairs,Rimestone Stairs
blue_skies,block.blue_skies.polished_rimestone_stairs,Polished Rimestone Stairs
blue_skies,block.blue_skies.umber_stairs,Umber Stairs
blue_skies,block.blue_skies.polished_umber_stairs,Polished Umber Stairs
blue_skies,block.blue_skies.cinderstone_stairs,Cinderstone Stairs
blue_skies,block.blue_skies.polished_cinderstone_stairs,Polished Cinderstone Stairs
blue_skies,block.blue_skies.brumble_slab,Brumble Slab
blue_skies,block.blue_skies.polished_brumble_slab,Polished Brumble Slab
blue_skies,block.blue_skies.polished_brumble_brick_slab,Polished Brumble Brick Slab
blue_skies,block.blue_skies.taratite_slab,Taratite Slab
blue_skies,block.blue_skies.polished_taratite_slab,Polished Taratite Slab
blue_skies,block.blue_skies.rimestone_slab,Rimestone Slab
blue_skies,block.blue_skies.polished_rimestone_slab,Polished Rimestone Slab
blue_skies,block.blue_skies.umber_slab,Umber Slab
blue_skies,block.blue_skies.polished_umber_slab,Polished Umber Slab
blue_skies,block.blue_skies.cinderstone_slab,Cinderstone Slab
blue_skies,block.blue_skies.polished_cinderstone_slab,Polished Cinderstone Slab
blue_skies,block.blue_skies.brumble_wall,Brumble Wall
blue_skies,block.blue_skies.polished_brumble_wall,Polished Brumble Wall
blue_skies,block.blue_skies.polished_brumble_brick_wall,Polished Brumble Brick Wall
blue_skies,block.blue_skies.taratite_wall,Taratite Wall
blue_skies,block.blue_skies.polished_taratite_wall,Polished Taratite Wall
blue_skies,block.blue_skies.rimestone_wall,Rimestone Wall
blue_skies,block.blue_skies.polished_rimestone_wall,Polished Rimestone Wall
blue_skies,block.blue_skies.umber_wall,Umber Wall
blue_skies,block.blue_skies.polished_umber_wall,Polished Umber Wall
blue_skies,block.blue_skies.cinderstone_wall,Cinderstone Wall
blue_skies,block.blue_skies.polished_cinderstone_wall,Polished Cinderstone Wall
blue_skies,block.blue_skies.blinding_stone,Blinding Stone
blue_skies,block.blue_skies.glowing_blinding_stone,Glowing Blinding Stone
blue_skies,block.blue_skies.carved_blinding_stone,Carved Blinding Stone
blue_skies,block.blue_skies.blinding_stone_pillar,Blinding Stone Pillar
blue_skies,block.blue_skies.blinding_slab,Blinding Slab
blue_skies,block.blue_skies.glowing_blinding_slab,Glowing Blinding Slab
blue_skies,block.blue_skies.blinding_stairs,Blinding Stairs
blue_skies,block.blue_skies.glowing_blinding_stairs,Glowing Blinding Stairs
blue_skies,block.blue_skies.blinding_wall,Blinding Wall
blue_skies,block.blue_skies.glowing_blinding_wall,Glowing Blinding Wall
blue_skies,block.blue_skies.nature_stone,Nature Stone
blue_skies,block.blue_skies.glowing_nature_stone,Glowing Nature Stone
blue_skies,block.blue_skies.nature_stonebrick,Nature Stone Bricks
blue_skies,block.blue_skies.glowing_nature_stonebrick,Glowing Nature Stone Bricks
blue_skies,block.blue_skies.carved_nature_stonebrick,Carved Nature Stone Bricks
blue_skies,block.blue_skies.nature_stone_pillar,Nature Stone Pillar
blue_skies,block.blue_skies.nature_stone_slab,Nature Stone Slab
blue_skies,block.blue_skies.glowing_nature_stone_slab,Glowing Nature Stone Slab
blue_skies,block.blue_skies.nature_stonebrick_slab,Nature Stone Brick Slab
blue_skies,block.blue_skies.glowing_nature_stonebrick_slab,Glowing Nature Stone Brick Slab
blue_skies,block.blue_skies.nature_stone_stairs,Nature Stone Stairs
blue_skies,block.blue_skies.glowing_nature_stone_stairs,Glowing Nature Stone Stairs
blue_skies,block.blue_skies.nature_stonebrick_stairs,Nature Stone Brick Stairs
blue_skies,block.blue_skies.glowing_nature_stonebrick_stairs,Glowing Nature Stone Brick Stairs
blue_skies,block.blue_skies.nature_stonebrick_wall,Nature Stone Brick Wall
blue_skies,block.blue_skies.glowing_nature_stonebrick_wall,Glowing Nature Stone Brick Wall
blue_skies,block.blue_skies.poison_stone,Poison Stone
blue_skies,block.blue_skies.glowing_poison_stone,Glowing Poison Stone
blue_skies,block.blue_skies.poison_stonebrick,Poison Stone Bricks
blue_skies,block.blue_skies.rough_poison_stonebrick,Rough Poison Stone Bricks
blue_skies,block.blue_skies.poison_stone_pillar,Poison Stone Pillar
blue_skies,block.blue_skies.carved_poison_stonebrick,Carved Poison Stone Bricks
blue_skies,block.blue_skies.poison_stone_slab,Poison Stone Slab
blue_skies,block.blue_skies.glowing_poison_stone_slab,Glowing Poison Stone Slab
blue_skies,block.blue_skies.poison_stonebrick_slab,Poison Stone Brick Slab
blue_skies,block.blue_skies.rough_poison_stonebrick_slab,Rough Poison Stone Brick Slab
blue_skies,block.blue_skies.poison_stone_stairs,Poison Stone Stairs
blue_skies,block.blue_skies.glowing_poison_stone_stairs,Glowing Poison Stone Stairs
blue_skies,block.blue_skies.poison_stonebrick_stairs,Poison Stone Brick Stairs
blue_skies,block.blue_skies.rough_poison_stonebrick_stairs,Rough Poison Stone Brick Stairs
blue_skies,block.blue_skies.poison_stonebrick_wall,Poison Stone Brick Wall
blue_skies,block.blue_skies.aquatic_stone,Aquatic Stone
blue_skies,block.blue_skies.glowing_aquatic_stone,Glowing Aquatic Stone
blue_skies,block.blue_skies.aquatic_slab,Aquatic Slab
